                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     63,                0.97095,                 0.7979,                 1.7652,                0.86458,                0.79797,                0.89604,                0.68396,                0.89594,                 0.6875,                 1.7074,                0.00714,                0.74728,              0.0050736,                 10.675,               0.084249,             0.00098486,             0.00098486,             0.00098486,             0.00098486
                     64,                0.96688,                0.81466,                 1.7733,                0.86326,                0.77743,                0.88405,                0.68399,                0.87981,                0.69302,                 1.7068,                0.00721,                0.74543,              0.0046527,                 10.675,               0.084249,             0.00097386,             0.00097386,             0.00097386,             0.00097386
                     65,                0.96823,                0.79273,                 1.7684,                0.85406,                0.83735,                0.90266,                0.68618,                0.89909,                0.67117,                 1.7085,                0.00862,                0.72337,              0.0049839,                 10.675,               0.084249,             0.00096286,             0.00096286,             0.00096286,             0.00096286
                     66,                0.96528,                0.79761,                 1.7642,                0.85282,                0.81158,                0.89347,                 0.6919,                0.87589,                0.67361,                 1.6932,                0.00895,                0.72733,              0.0052781,                 10.675,               0.084249,             0.00095186,             0.00095186,             0.00095186,             0.00095186
                     67,                0.95473,                0.78076,                 1.7667,                0.84168,                0.82222,                0.90465,                0.69591,                0.87691,                0.67035,                    1.7,                0.01062,                0.71453,              0.0052712,                 10.675,               0.084249,             0.00094085,             0.00094085,             0.00094085,             0.00094085
                     68,                0.95478,                0.78289,                 1.7558,                0.85382,                0.80919,                0.89179,                0.68887,                0.87562,                0.66807,                  1.675,                0.00737,                0.74638,              0.0051438,                 10.675,               0.084249,             0.00092985,             0.00092985,             0.00092985,             0.00092985
                     69,                0.94184,                0.78557,                 1.7437,                0.86554,                0.82886,                0.90663,                 0.6977,                  0.871,                0.65195,                 1.7006,                0.00801,                0.74251,              0.0045088,                 10.675,               0.084249,             0.00091885,             0.00091885,             0.00091885,             0.00091885
                     70,                0.93742,                0.77231,                  1.739,                0.83745,                0.83289,                0.89511,                0.68335,                 0.9155,                0.66719,                 1.6974,                0.00811,                0.72903,              0.0048086,                 10.675,               0.084249,             0.00090785,             0.00090785,             0.00090785,             0.00090785
                     71,                0.92763,                0.75948,                 1.7303,                0.83808,                0.78922,                0.88939,                0.68302,                0.88806,                0.68637,                 1.6963,                0.00972,                0.71401,              0.0045842,                 10.675,               0.084249,             0.00089685,             0.00089685,             0.00089685,             0.00089685
                     72,                0.92606,                0.75464,                 1.7274,                0.86236,                0.81754,                0.90274,                0.69991,                0.87723,                   0.65,                 1.6891,                0.01292,                0.74573,              0.0048161,                 10.675,               0.084249,             0.00088584,             0.00088584,             0.00088584,             0.00088584
                     73,                 0.9176,                0.74452,                 1.7094,                 0.8475,                0.80739,                0.89807,                0.69904,                0.88792,                0.66651,                 1.6906,                0.00832,                 0.7482,              0.0042303,                 10.675,               0.084249,             0.00087484,             0.00087484,             0.00087484,             0.00087484
                     74,                0.92952,                0.75171,                 1.7244,                0.85751,                0.82068,                0.90862,                0.70162,                0.87956,                0.64448,                 1.6981,                0.00861,                 0.7524,              0.0053418,                 10.675,               0.084249,             0.00086384,             0.00086384,             0.00086384,             0.00086384
                     75,                0.92662,                0.74835,                 1.7206,                0.82924,                0.82461,                0.89728,                0.68967,                0.89227,                0.66524,                 1.6842,                0.00957,                0.72407,              0.0049816,                 10.675,               0.084249,             0.00085284,             0.00085284,             0.00085284,             0.00085284
                     76,                0.90231,                0.73403,                 1.6966,                0.84674,                0.82348,                0.89358,                0.68342,                0.88352,                0.66236,                 1.6974,                0.00907,                0.73953,               0.005106,                 10.675,               0.084249,             0.00084184,             0.00084184,             0.00084184,             0.00084184
                     77,                0.91952,                0.75269,                 1.7187,                 0.8704,                0.81033,                0.90386,                0.69361,                 0.8887,                0.65676,                 1.6877,                0.00989,                 0.7412,               0.004553,                 10.675,               0.084249,             0.00083083,             0.00083083,             0.00083083,             0.00083083
                     78,                0.92283,                0.73703,                 1.7142,                0.81622,                0.86039,                0.90219,                0.70255,                0.85401,                 0.6365,                 1.6485,                0.00991,                0.75187,              0.0042253,                 10.675,               0.084249,             0.00081983,             0.00081983,             0.00081983,             0.00081983
                     79,                0.93441,                0.74069,                 1.7276,                0.84986,                0.84869,                0.90576,                0.70337,                0.84412,                0.64996,                 1.6525,                0.00802,                0.74971,              0.0044695,                 10.675,               0.084249,             0.00080883,             0.00080883,             0.00080883,             0.00080883
                     80,                0.93346,                0.73733,                  1.719,                 0.8367,                0.81487,                0.88606,                0.68246,                 0.8588,                0.70825,                 1.6776,                0.01144,                0.75517,              0.0046673,                 10.675,               0.084249,             0.00079783,             0.00079783,             0.00079783,             0.00079783
                     81,                0.90452,                0.73183,                 1.6999,                0.84777,                0.85376,                0.90657,                0.70738,                0.85743,                0.64901,                 1.6495,                0.01413,                0.75802,              0.0044907,                 10.675,               0.084249,             0.00078682,             0.00078682,             0.00078682,             0.00078682
                     82,                 0.9042,                0.71657,                 1.6878,                0.85461,                0.86074,                0.90898,                0.70257,                0.85879,                0.63793,                 1.6562,                0.00958,                0.75582,              0.0045664,                 10.675,               0.084249,             0.00077582,             0.00077582,             0.00077582,             0.00077582
                     83,                0.89621,                0.71133,                 1.6873,                0.84825,                0.85058,                0.91817,                 0.7149,                0.86959,                 0.6169,                 1.6792,                 0.0086,                0.74772,              0.0045406,                 10.675,               0.084249,             0.00076482,             0.00076482,             0.00076482,             0.00076482
                     84,                0.90476,                0.70772,                 1.6865,                0.88471,                0.83507,                 0.9092,                0.71229,                0.86042,                0.62506,                  1.642,                0.00928,                0.75909,              0.0045074,                 10.675,               0.084249,             0.00075382,             0.00075382,             0.00075382,             0.00075382
                     85,                0.88603,                0.70027,                 1.6698,                0.87314,                0.82984,                0.90565,                0.70156,                0.86953,                0.64361,                 1.6405,                0.01013,                0.75971,              0.0042735,                 10.675,               0.084249,             0.00074282,             0.00074282,             0.00074282,             0.00074282
                     86,                0.88796,                0.70408,                 1.6731,                0.87219,                0.84187,                0.91544,                0.70864,                0.85706,                0.60613,                  1.663,                0.00884,                0.73776,              0.0050016,                 10.675,               0.084249,             0.00073181,             0.00073181,             0.00073181,             0.00073181
                     87,                0.87788,                0.71721,                 1.6736,                0.84736,                0.84774,                0.91148,                0.71085,                0.84917,                0.62866,                 1.6381,                0.00889,                0.74932,              0.0043457,                 10.675,               0.084249,             0.00072081,             0.00072081,             0.00072081,             0.00072081
                     88,                0.88529,                0.70485,                 1.6698,                0.86413,                0.85966,                0.91288,                0.71403,                0.85279,                0.60979,                 1.6228,                0.00628,                0.76154,              0.0048782,                 10.675,               0.084249,             0.00070981,             0.00070981,             0.00070981,             0.00070981
                     89,                0.87957,                0.69439,                 1.6663,                0.85816,                0.85996,                 0.9161,                0.72346,                0.83283,                0.60762,                 1.6167,                0.00838,                0.75887,               0.004429,                 10.675,               0.084249,             0.00069881,             0.00069881,             0.00069881,             0.00069881
                     90,                0.89658,                0.69871,                 1.6812,                0.86086,                0.85762,                0.91465,                0.71593,                0.85285,                 0.5925,                 1.6221,                0.00822,                0.74128,              0.0046171,                 10.675,               0.084249,              0.0006878,              0.0006878,              0.0006878,              0.0006878
                     91,                0.86203,                0.67404,                 1.6442,                0.89935,                0.80754,                0.90881,                0.71262,                0.84193,                0.62206,                 1.6303,                0.01232,                0.75549,              0.0040281,                 10.675,               0.084249,              0.0006768,              0.0006768,              0.0006768,              0.0006768
                     92,                 0.8814,                0.68639,                 1.6608,                0.84927,                0.87658,                0.91615,                 0.7125,                0.86444,                0.61265,                 1.6276,                0.00943,                0.76081,              0.0040385,                 10.675,               0.084249,              0.0006658,              0.0006658,              0.0006658,              0.0006658
