                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     46,                 1.2992,                 1.1778,                 1.8639,                0.75811,                0.69176,                 0.7936,                0.54528,                 1.1581,                 1.0085,                 1.7647,                0.01413,                0.68195,              0.0085601,                 10.675,               0.084405,              0.0011719,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.2984,                 1.1589,                 1.8548,                0.73576,                0.73204,                0.79754,                0.54093,                 1.1998,                0.95835,                  1.765,                0.01443,                0.68732,                0.01031,                 10.675,               0.084405,              0.0011609,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.2892,                 1.1474,                 1.8401,                0.74246,                0.69339,                0.78465,                0.53682,                 1.1687,                0.98685,                 1.7442,                 0.0128,                0.67429,              0.0086848,                 10.675,               0.084405,              0.0011499,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.2909,                 1.1531,                 1.8377,                0.70272,                0.73493,                0.79428,                0.53254,                 1.1983,                0.96705,                 1.7515,                0.01361,                0.68717,              0.0085671,                 10.675,               0.084405,              0.0011389,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.2705,                 1.1255,                 1.8191,                0.75073,                0.71393,                0.80296,                0.54794,                 1.1271,                0.95586,                 1.7007,                0.01394,                0.69183,              0.0086261,                 10.675,               0.084405,              0.0011279,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.2456,                 1.1039,                 1.7994,                0.74053,                0.72869,                0.80769,                0.56457,                 1.1358,                 0.9549,                 1.7011,                0.01294,                0.68992,               0.008578,                 10.675,               0.084405,              0.0011169,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.2563,                 1.1152,                 1.8049,                0.77776,                0.73404,                0.81303,                0.56285,                 1.1232,                 0.9142,                 1.7065,                0.01157,                0.68621,              0.0084538,                 10.675,               0.084405,              0.0011059,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.2621,                 1.1173,                 1.8043,                0.70029,                0.74609,                0.80292,                0.56035,                   1.12,                0.94529,                 1.6874,                  0.014,                0.69289,              0.0087729,                 10.675,               0.084405,              0.0010949,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.2203,                 1.0831,                 1.7742,                0.77237,                0.72592,                0.81459,                0.57145,                 1.1013,                0.91204,                 1.6782,                0.01277,                0.69126,               0.008135,                 10.675,               0.084405,              0.0010839,              0.0010839,              0.0010839,              0.0010839
                     55,                 1.2408,                 1.0991,                 1.7795,                0.71822,                0.73434,                0.80544,                0.55755,                 1.1324,                0.93278,                 1.6993,                0.01127,                0.69535,              0.0075484,                 10.675,               0.084405,              0.0010729,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.2367,                 1.1027,                  1.779,                0.77537,                0.70339,                0.81071,                0.56813,                 1.0908,                0.90133,                 1.6644,                0.01345,                0.69272,              0.0077713,                 10.675,               0.084405,              0.0010619,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.2168,                 1.0772,                 1.7578,                0.72273,                0.73407,                0.80503,                0.56216,                 1.1109,                0.92633,                 1.6792,                0.01286,                0.68568,              0.0079683,                 10.675,               0.084405,              0.0010509,              0.0010509,              0.0010509,              0.0010509
